p,avgCodedErrors,avgNonCodedErrors,avgCodedTime,avgNonCodedTime
0,0,0,16.016874,0.47978800000000205
0.005,0.06,50.52,15.791593999999996,0.361150000000016
0.01,0.1,102.1,15.521355999999969,0.40588400000001457
0.015,1.26,153.64,14.432269999999999,0.3595079999999689
0.02,2.46,200.18,14.716008000000066,0.3984740000000147
0.025,7.8,245.24,15.420204000000085,0.3958959999999206
0.03,14.7,298.7,15.238639999999997,0.41386599999988904
0.035,23.58,354.48,18.295014000000048,0.46960199999995894
0.04,38.74,399.82,15.814072000000015,0.3863539999999739
0.045,58.98,449.24,15.246805999999925,0.387171999999955
0.05,79.66,500.92,16.847595999999974,0.392353999999832
0.055,115.38,545.74,16.00698799999991,0.38341400000004794
0.06,144.62,599.84,17.04218799999995,0.3990359999998691
0.065,185.52,648.78,16.655547999999982,0.39142400000004274
0.07,229.16,707.58,16.769642000000168,0.3774519999998665
0.075,282.34,748.06,17.204172,0.38709000000009836
0.08,336.32,801.58,18.41947400000012,0.4124099999999817
0.085,393.98,845.96,18.45016399999986,0.4117680000000473
0.09,458.12,893.06,18.57807999999939,0.4230440000001181
0.095,517.94,944.44,19.459997999999977,0.4281940000000759
0.1,607.92,1005.14,19.146062000000164,0.42375599999963015
0.105,687.28,1052.12,19.815510000000142,0.43901999999965485
0.11,769.2,1097.82,19.55980800000012,0.39299000000006346
0.115,853.82,1161.66,19.597919999999796,0.40897600000003875
0.12,944.54,1197.76,19.26094199999963,0.40671199999975216
0.125,1027.74,1243.42,18.86387000000017,0.3854600000000937
0.13,1111.42,1298.28,20.783989999999832,0.3984520000001794
0.135,1206.32,1347.48,19.870086000000082,0.5042860000002111
0.14,1295.68,1404.98,20.04232000000011,0.42668600000026347
0.145,1402.56,1452.42,19.609584000000105,0.41063999999991213
0.15,1475.46,1501.38,20.365537999999432,0.4127139999999054
0.155,1573.2,1542.92,19.458508000000073,0.39891399999985877
0.16,1666.4,1598.68,20.112823999999748,0.40532600000020463
0.165,1730.82,1648.44,19.80719000000012,0.40578800000010234
0.17,1840.62,1707.92,19.749361999999966,0.4288300000000163
0.17500000000000002,1923.26,1751.54,20.28694600000017,0.42064200000066193
0.18,1991.72,1799.34,21.21297999999966,0.4194599999998172
0.185,2077.94,1860.34,20.413174000000144,0.42774600000018836
0.19,2177.86,1904.54,20.62703999999925,0.42199600000109055
0.195,2242.62,1949.22,20.66094200000094,0.447728000000061
0.2,2326.76,1997.32,21.243658000000725,0.4165140000001702
0.20500000000000002,2399.38,2064.74,20.267803999999742,0.4126080000003276
0.21,2482.62,2114.04,20.49383999999991,0.4363359999995737
0.215,2531.96,2156.62,21.157233999999736,0.48186000000016066
0.22,2597.94,2191.12,20.521254000000628,0.45954199999949197
0.225,2685.88,2258.64,20.291781999999948,0.4616279999997641
0.23,2727.5,2306.88,20.671754000000075,0.41837799999993874
0.23500000000000001,2811.98,2349,20.303415999999707,0.4458800000003248
0.24,2854.6,2407.42,20.67997399999993,0.41203200000003565
0.245,2920.56,2444.2,20.714578000000184,0.4463879999998608
0.25,2976.86,2500.54,21.359296000000178,0.4937079999994603